Page Number,Key Text,Remaining Unique Words
1,EMPTY_KEY,ры; f; tcm; document; мо; 4; eurcicreem; 4124jkdd217000010; dcs; logic; diagramsammonia; utilities; no; sheet; olof; 158; issue; 03; fy; тест; те; nt; 3000; mtpd; ammonia; kingisepp; russian; federation; llc; eurochem; northwest2; »; —; fat; master; copy; confidentiality; label; export; compliance; this; contains; ker; confidential; information; and; cannot; be; software; technieal; that; és; subject; to; copied; or; used; by; any; pasty; for; purpose; without; kbr; hrough; us; other; applicable; control; regulation; inctuding; tecnimont; spa; prior; written; consent; however; restrictions; on; the; sale; transfer; of; usorigin; items; goods; may; modify; use; same; financing; technology; sanctioned; embargoed; countries; entities; deslgn; project; persons; it; not; exported; reexparted; except; as; authorized; оз; final; tesue; 01112021; с; piffari; 02; 27082021; kchavan; piflari; а; 23032021; dahake; кснауап; рая; review; description; date; checked; approved; if; t; roche; northwest2s; property; ils; copyright; 18; vasled; in; 1; gon; canvidentic; internation; party; nny; puipose; tecaimonts; euechem; novthwest2s; й; ор; босилели; 15; е; мел; a; testriction; are; slaled; above; tabel; ee; enna
2,‘DCS-INDEX_SH_A,®; eurochem; dcsindexsha; polis; tecnimont; identification; gode; ogsindexsha; index; sheet; dcs; logic; diagramsammonia; utilities; amnionia; and; urea; production; kingisepp; document; number; 4124jkdd217000010; mf; 3000; мтро; ammonia; software; customer; code; ы; 93; coverpage; 17100391; dem; water; pumps; 196; oz; 17400202; мхео; bed; feed; start; stop; 140; ot; ne; ocsindex; dosundexshla; ноех; 2; —; осззноех; dcsnoexshs; 3; зоо; 37305502; эв; mixed; 142; 0a; deswdex; dcsandex; shc; 4; 17100302; 1740050220c; 144; mi; osioexshd; и; 17400303; lp; condensate; ocsnotes; general; notes; 5; 47400308; deslegenos; legend; for; signals; 100304; ‘sac; filter; med; ии; doslegend; deslegend2; legeno; control; symbol; 1; on; 17400304; ypa0304; 2b; sag; 162; е; deslegend; dcslegend9; contacl; 82; 0; 17409204; 174003086; зв; of; мы; i; a; sct; from; низ; plant; то; sac; filters; fe; rs; doslegeno; dgslegend5; 5умвое; doslegends; device; controller; dgslegends; ‘typical; ритузтанову; 05; 04; typical; outyistandby; 02; ‘sct; с02; compreseor; to; steam; gond; melt; fltr; cooling; circulation; ‘cooling; ocslegend; осзчевемо; deslegendi0; dutwistandby; 03; dutvistanoby; pare; us; tod; vdt; blowdown; industrial; shutoff; 190; ocslegeno; осзаесенол; осваеоено; dcslegenoa; lamp; test; м; сз; снс; атон; о; ‘освчесемо; doslegend3; вао; ру; deviation; alarm; ie; оао; st; 22; осзлввено; doslegend14; motor; руонем; 17400702shd2; 2“; sripa702; her; grculation; 26; ospc; sump; 174d0702shez; za; 174040301; sa; demi; “cboling; 220; o; 17360702; 3ве1; 17405301; 175100304shb; 192; 1700901; wtoc; оемиуатев; 134; 17200702; snf2; cirgulation; 222; румрз
3,i |,4; eurocuem; tecnimont; ioentieication; code; dcsindexshb; index; sheet; dcs; logic; diagramsammonia; utilities; ammonia; and; urea; production; kingisepp; document; number; ravision; 4124jkdd217000010; fl; tecnimon; е; software; 3000; mtpd; output; description; мо; cooling; water; crculation; pumps; is; 17200705; p; side; stheam; filter; package; a5; cooung; снс; атюм; 228; 3705705; 27; staeam; ane; 52; bp; circulation; pump; 17p071; a; 20; 17409708; 17400706; ea; of; 7; 2si0e; stream; packages; unit; thlo7oab; г; ing; 172078; 245; ©; 17400728; тот; зтавтревм; for; стран; i7mo7ilka; 84; o12f; 17p0716; 250; 3; 3740723; 4704723; ‘start; perm; ct; ран; 17movilke; 31; 22; ы; ее; ро; grculation; ттт; 255; 02; some; 4740074; start; ров; ст; 1tmotilkc; т; 2; —; в; bi; egt; прот; 260; 17409725; 12400725; l; pern; fan; i7m071lko; 7300717; 17400; я; tere; coouns; чин; 265; 17500728; 1700726; 17motilke; р; eres; ‘i; 3723716; 270; o2; 47409727; 47300727; 17wotilce; 326; ex; 470079; f; 092; 170979; moons; os; ras; ‘stop; heater; fana7071kmo71a; on; оз; 37400728; рам; i7mo7ilkg; ser; t7ado7boa; 174007; es; stop; ot; 17407; kmo7i8; ore; 37409729; 1700729; рем; gt; 17mo7ilkh; 328; 08; 174007808; уюте; тор; 17071kil0716; ars; 100730; 17409730s0a; injection; system; ph; control; 930; af; 222; 174007006; пот; me; ice; 74071k40710; 214; 95; ‘jection; рн; contro; 332; 374007; 174007801; не; 17lotlkmotie; 25; 0s; 34; corrosion; inhhbitor; 40; 4222; 473007008; 1097; y7lo7tkmo7if; 26; 03; х; inhsitor; 342; 174007008; y7adotrof; ру; 174071; м0; ar; 93; dispersant; 380; az; al; 21; 174007806; то; ыы; geen; 17llo7lkmoti; are; jection; 382; ог; y7400780h; ’; emergency; 280; ron; oxidant; biocide; 1; 17400703; 37409703; sha; energency; 282; non; вюсюе; 302; 17409763; 1200708; she; сы; емейсенсу; 284; 53; 17; chlorine; еннансея; 370; 17400708; нотам; ира; 1720738; 200; о; боев; ery; aiid; enhancer; эт; ое; бот; 97; sth; эм; ca; 1700798; 77400735звл; ins; sys; охюантвюсое; sodium; hypochlorite; fc; 24; тона; yrio721; waste; 174202; or; 4730735; 17409735; ав; ini; oxoant; зи; as; 1720728; one; 17500011; 1700911; ‘instrument; ая; buffer; vessels; rumps; «; зол; 17401001; §2to; hhp; n2; comp; battery; бмп; 400
4,ОСЗАМОЕХ_$Н_С,у; dcsindexshc; тесное; dentfication; code; ocsinoexshc; index; sheet; document; number; revision; 4; eurochem; dcs; logic; diagransammonia; utilities; 4124jk0d217000010; 0a; ammonia; and; urea; production; kingisepp; м; 5; зв; 03; seco; mtpd; customer; igen; tification; cobe; b; an; tecnimont; input; software; output; description; wterlock; no; name; desgrption; seer; rev; franti; чи; phosphate; injection; вузтем; ны; 7; ттолаоов; 1704058; к; clean; rain; water; lff; s7ni; t7l140p1400; sie; ot; i; wma; оховем; scavenger; ruection; system; 17443; ©; зтолозв; зола; див; uft; stine; 114021409; sas; о; ¥; wanes; thesis; амне; выестюм; чаи; °; 174044094; 472014054; k2; ran; stn2; 17l142p1420; 880; oz; ti; 24; “; wohi; рии; понев; feed; pumps; startiautostaat; 174034068; srisr40ab; ha; ke; awn; lift; sth2; 97l149p1438; se; te; teast; 7901904sha; safety; shower; pump; start; точное; 174014088; smb; ka; fran; s62; 17614971438; 284; o; wore; base; ee; с; толя; 124042078; 113; prog; contaminated; wir; stn; t7l14071404; 360; 02; fe; 2; утчолз0у; зачот; ис; ‘; s7ad44078; 740; 14отв; вл; 38; wirlift; sth; тара; sz; 22; и; р; gafety; a; vasa; wwauro; ae; x13; gontamhated; wtr; ет; 17lubpu4a; yon; 15425; ини; оа; вам; for; 7851438; 17092084; 179046084; x17; оу; ати; 17lea7plata; 570; ов; rapa; bsns; rar; 17851438; 47014000; 474018020; kiz; оку; confaminateo; зтна; 4246; rz; ор; я; зов; 374040188; raw; 17bs142415; лава; 17014088; лов; ks; ory; contammated; witlliet; sti; азария; sme; е; зб; ии; retention; gasin; 1705144; рыл; acne; ноте; ужа; so; e; нн; аа; ван; bagh; punips; 178544; ок; реа; ав; onorr; valves; 71014028; черн; яз; air; basin; pumes; 329344; aopen; мои; а; morons; 200; ®; ри; overflow; руо; ормвыа; раз; ереока; me; srabaaaa8; 174014098; ва; glean; ian; ео; ори; arpendit; wpl; 204; az; 19404638; 71014038sh8; donee; aseria; hk; ‘aopindivs; bg; sequence; param; 708; 92; это; 11404704; 48а; glycol; circulating; гацтозтаят; appenaes; aspnes; 8; appenaie; og; 42401701; 7401701; sho; gaculating; autostart; appends; вс; лррелак; 500; spho1tol; хоз; днс; ‘glycol; kpocedies; аррвовы; sib; ‘aspondies; dg; ne; пода; 17301702; geycol; falling; apnea; anpendic; stk; 17pavia; turbine; seouence; 259; 3740; 47401703; onoff; valve; os; росе; ив; 1ераззатинвне; ie; 09; ара; рода; роя; t7bs14348; appondicti; append; she; 7p114; так; 374040; поммв; сонтамечатей; 17bs43ar; asot; angad; shh; арреник; motors; 230; 474019000; 7ad1a06a; ка; cleanbain; let; stat; 7lm4opl404; aepcadc; appendikt; 732; 23; cs; coca; scalar
5,Co Ga Ca С Go = Gao Е Е = = = = = г,dcsindexshd; tecninont; identification; coce; dosindexshd; осз; index; document; number; revision; еняоснем; dos; logic; diagrams; ammonia; utilities; 4124jk0d217000010; 03; and; urea; production; какизерр; sheet; 5; next; 10; shrev; an; зна; customer; code”; tecnimont; input; dcs; software; output; a; р; еее; реет; aepenomsctfan; tpt; lea; 250; apes; ctfan; sf; ad; oh; le; т; appenomectfan; veda; tt; la; тва; 7; arena; ct; fang; potil; re; 755; в; sereromecrrany7; bot; lkty; 1; 3; “argendees; fan; 1m; potilkh; 757; 4; горой; un; exchote; кара; to; 05а; boiler; tbo; b; 4a; зы; —; sa; ую; i; ыы; ej
6,‘OCS-NOTES,oo; dcsnotes; тесмумомт; identification; code; ч; 0смотез; general; notes; document; number; revision; x; eurochem; ocs; logic; diagramsammonia; utiuties; 41240kd0217000010; 0a; ammonia; and; urea; production; kingisepp; tecniment; input; dcs; software; output; ogc; status; tas; fas; 1reference; documents; ix; в; ‘doc; dascripton; i; 4326w2sg21; 7000005; process; interlock; description; io; 2; plant; pds; a; 4124wzlp247007005; alarm; trip; set; point; ligt; be; he; 05; tex; т; in; ий
7,f  сш сш Co сш co ce co cop fo co co oc oo  `: DCS-LEGEND-4 (,r; т; ти; lo; jan; ne; ее; tegnimont; identification; code; ‘; doslegend1; legend; sheet; for; signals; document; numbor; revision; eurochem; ‘dcs; logic; diagramsammonia; utilities; a124jk00217000010; 03; anhonia; and; urea; production; kingise; 0; next; 51; в; shey; or; е; а; ia; customer; 3; tecnimont; rt; input; dcs; software; output; stahis; tag; tas; ogc; sixtus; pa; intertock; number; interlock; desctiption; te; lax; м; a; status; conetpondance; wih; tha; plysleat; ik; event; discrete; inpeyourput; onty; os; —; us; as; joe; оао; хихххх; tame; frxxxxx; ststusa; fe; ike; туре; loe; быт; мк; ox; iz; signal; г; insramart; location; ‘link; lox; tm; type; ри; 4°; tnstrument; locations; anatog; no; fink; ура; raquired; analyzer; shokor; cruph; control; room; product; налог; los; ao; anglog; analyzes; shelter; des; distiibuted; system; rruph; яаск; roomt; handling; tex; bi; digital; cems; continuous; emissioning; monitoring; esd; emergency; shutdown; sysiem; suph; saleiila; substation; po; fap; fie; адит; panel; fiekt; component; located; in; pant; area; handing; alr; analog; redundant; нм; humanmachine; пюнасе; оса; crwpu; hoom; water; prapatation; unit; oz; aor; oulpul; е50; shuidown; syslem; мос; motor; contsol; centre; rrwpu; rack; preparation; t; ‘or; mms; machine; ssam; sub; station; ammonia; sswpu; stallon; 00я; bms; burner; managantent; syston; ssur; inp; inlerposing; relay; pane; sai; serial; plc; programmable; controller; зосам; shuldown; console; aux; auxitary; cabinet; 9; зао; mee; integrated; turbine; compressor; contra’; sdcur; ‘shutdown; de; sot; мсс; controt; ¥ms; moniloring; 500; sotial; ecs; gleclsical; monitering; managament; ost; overspoed; тир; sysiom; plo; logie; conirollor; gov; govemor; cram; roomammonin; 1; tgs; tank; gauging; rra; roomammonia; crur; roomtiea; о; rrur; roomtkea; oe; cs
8,"ОСЗАЕВЕНО-2  “™,",a; ‘dcslegend2; dcslegend2; legend; for; control; symbol; 1; dgs; logic; diagramsammonia; utilities; ammonia; and; urea; production; kingisepp; тесммонт; identification; code; document; number; a124jkbd217000010; sheet; 51; she; of; customer; gode; 3000; mtpd; dcs; software; ано; eunction; 4; lo; ще; с; в; ам; вотоз; 8; ele; сот; os; not; function; alot; вн; о; ime; delay; wforour; 0s; ле; №; sil; се; “sec; pulse; ”; po; out; —————; los; и; w; j; th; casa; set; reset; becomes; our; aclive; simultaneously; the; is; а; —; preva; ‘special; tee; flipflop; with; resct; provalont; 2; frc; formuta; wit; be; specified; by; in; case; ®; activa; roselis; prevalent; roller; ze; pv; process; value; aut; i; at; level; ‘and; external; switchs; enabied; controtier; mode; to; auto; cas; if; extemal; switch; enabled; convoller; moda; cascade; kp; proportional; parameter; ti; integral; time; ‘ta; extornat; derivative; me; ‘limit; hi; ouput; high; mit; umit; output; low; amit; ff; input; indicate; thie; used; controte; ditectyrovorset; tha; action; track; епияз; indicates; that; tne; кака; option; or; disable; ssp; en; when; teacking; sp; fogew; ho; avoid; bump; controter; back; contol; tracking; required; discrepancy; alarm; 236; finaised; uring; pre; comsrtissoning; shalllve; generated; comrol; vale; wlth; poshion; transrniter; betweerr; pid; controller; gp; potkion; wansmitter; a7aotnporaitozashoia200r; valve; alata; where; ххх; sequence; respective; tag
9,prey eo  C3  Анны?  DCS-LEGEND-S  coq ou  ним,7; an; lad; i; cas; ный; 3; tegnaiont; dentfication; code; furec; doslegend3legeno; for; control; symsol; 2; document; number; revision; 4; urochem; dcs; logic; diagramsammonia; utilities; 4124jkdd217000010; 03; ammonia; and; urea; production; kingisepp; shool; 62; под; 53; shier; 01; vian; 15000; тро; аммокаа; customer; identification; tecnimont; input; software; output; таз; tas; loge; status; ра; а; dee; ед; ee; ane; ор; the; som; of; signal; m; spec; —; pour; iunctions; ouput; at; level; t; when; в; or; 0100; barg; ‘condition; 8; salisiied; pahhi234; 1; ‘sheater; fonction; sub; function; te; ‘somparison; tetweon; рик; value; b; a; ы; our; perform; subtraction; betwnena; sid; let; who; cna; oe; рено; м; is; ‘greater; equal; multeunotion; ‘sompaitcon; between; залив; ta; be; ‘weer; миро; ae; ih; es; cal; ое; woon; canon; xe; sina; sa; ‘; fe; —pb; завод; ox; one; ha; comparison; inputs; pertormn; divieton; betwoon; lng; ot; eb; jp; out; ‘guiput; ope; tevel; wean; coat; 99т; 9; men; bpp; lac; —ф; satistied; pa; 45; ов; ayg; comparisoia; batwoon; valve; он; average; he; при; “; asp; oueialge; evel; condone; wap; sans; —1; г; scale; кров; мама; linear; sealing; based; on; ара; atlogc; cooation; 6; ar; tho; dethadperametes; listed; 420; outo; in50; oufatoo; вах; 603; loc; buia; equalto; tie; maximum; сонни; ls; miko; three; fae; map; ingut; зов; bi; eee; вывнстон; с; ии; ол; quipot; to; ralnimum; меню; м—; loz; ю
10,DCS-LEGEND4,tecnimont; identification; code; 2; dgslegend4; legend; for; control; зумвое; а; document; number; revision; eurrochem; des; logic; diagramsammonia; utilties; 41240kdd217000010; оз; ammonia; and; uaea; production; kingisepp; sheat; 53; next; 54; зло; of; в; 5000; mtpd; customer; identifigation; 03; input; dcs; software; output; stats; тас; tag; status; selection; ы; our; ue; souter; count; the; occurence; иру; chancet; т; ae; sei; beset; one; setecon; п; стр; “in”; when; 515р; юри; is; at; lovel; 1; ав; 45368; 0; reset; ю; 9; ihe; сут; и; swich; ls; active; saf; зе; t; switch; nls; ts; swi; ils; selected; in; case; bio; setection; dw; counter; —; ‘swe; ateactve; sametine; he; bwest; ane; re; prevalent; a; no; from; preset; value; “nt”; decrease; ‘; cquatto; inpet; зил; al; ani; cocurtence; при; ауд; “tnt; ¥; stsp; log; level; rs; ‘used; io; af; ha; юй; valua; oe; rogeunction; totazer; bi; ee; je; ie; chai; ‚ассоиаиую; зави; toialize; ing; vatue; over; time; 8; ss; 7; от; s1sp; inpial; el; кдстечы; ris; used; 10; к; parammtors; 51; 512; 3; sl; taset; cutout; ne; poste; slope; sl2; tor; negative; ча; f; ‘abs; sunction; nook; ни; se; te; absolute; ри; voting; sint; ‘dcs; м; b; окз; puis; on; mare; loge; fevet; sofisranrvalue; o; constant; an; ior; obser; locks; by; dafault; nol; speciied; canto; changed; oparatar; orator; г”; selector; ‘ncicale; we; reson; ofa; tuncian; position; 1out; 2nd; teout; ‘sed; sefecied; oy; во; lamp; test; indicates; selevant; push; button; tae; е; l; ‘thee; ouput; wi; bo; postive; pulse; win; lon; вак; duration; €; cpu; суб; р; г; tine; ia; hz; le; i; as; eed
